School name,State,City,Degree of urbanization,Number of applicants,Has Early Decision (ED) Plan?,Has Early Action (EA) Plan?,Acceptance rate,ED admit rate,EA admit rate,RD admit rate,Average GPA,GPA Weighted,Percent of students with GPA (4.0+),Percent of students with GPA (3.75-3.99),Percent of students with GPA (3.00-3.24),Percent of students with GPA (3.25-3.49),Percent of students with GPA (2.00-2.49),Percent of students with GPA (Below 1.00),Percent of students with GPA (2.50-2.99),Percent of students with GPA (3.50-3.74),ACT Composite 25th,ACT Composite 50th,ACT Composite 75th,ACT English 75th,ACT Reading 75th,ACT Reading 50th,ACT English 50th,ACT English 25th,ACT Reading 25th,ACT Math 25th,ACT Science 25th,ACT Science 50th,ACT Math 50th,ACT Math 75th,ACT Science 75th,Percentage of enrolled freshmen submitting ACT scores,SAT Reading 25th,SAT Reading 50th,SAT Reading 75th,SAT Math 75th,SAT Composite 50th,SAT Composite 75th,SAT Math 50th,SAT Math 25th,SAT Composite 25th,Percentage of enrolled freshmen submitting SAT scores,Percent Women,Percent Men,Percent Non-binary,Percent Hispanic/Latino,Percent Black or African American,Percent White or Caucasian,Percent American Indian or Alaska Native,Percent Asian,Percent Native Hawaiian or Pacific Islander,Percent Other,Published in-state tuition and fees,Published out-of-state tuition and fees,Total price for in-state students living on campus,Number of men enrolled,Number of women enrolled,Number of students enrolled,Estimated undergraduate enrollment full time,4 year graduation rate,Retention rate,6 year graduation rate,Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (dollar amt),Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (percentage),Average amount of institutional grant aid received by full-time first-time undergraduates,Average net price-students receiving grant or scholarship aid,Average amount of other federal grant aid received by full-time first-time undergraduates,Average amount of Pell grant aid received by full-time first-time undergraduates,Average amount of state/local grant aid received by full-time first-time undergraduates,Average amount of student loan aid received by full-time first-time undergraduates,Average amount of federal student loan aid received by full-time first-time undergraduates,Average amount of other student loan aid received by full-time first-time undergraduates,Average amount of federal  state  local or institutional grant aid received,Percent of full-time first-time undergraduates receiving any financial aid,Percent of full-time first-time undergraduates receiving federal state local or institutional grant aid,Percent of full-time first-time undergraduates receiving other federal grant aid,Percent of full-time first-time undergraduates receiving state/local grant aid,Percent of full-time first-time undergraduates receiving Pell grants,Percent of full-time first-time undergraduates receiving any loans to students or grant aid  from federal state/local government or the institution,Percent of full-time first-time undergraduates receiving institutional grant aid,Percent of full-time first-time undergraduates receiving federal student loans,Percent of full-time first-time undergraduates receiving student loan aid,Percent of full-time first-time undergraduates receiving other loan aid,Percent of full-time first-time undergraduates  receiving federal grant aid,Average net price (income over 110 000),"Average net price (income 75,001-110,000)","Average net price (income 48,001-75,000)","Average net price (income 30,001-48,000)","Average net price (income 0-30,000)",Student
Northwestern University,IL,Evanston,City: Small,"49,474",Yes,No,8%,23%,---,6%,---,No,---,---,---,---,---,---,---,---,34,34,35,36,---,---,35,35,---,32,---,---,34,35,---,23%,740,750,770,800,1530,1560,780,770,1490,46%,54%,46%,---,18%,9%,34%,---,24%,---,14%,"$70,589","$70,589","$96,182",976,"1,127","2,111","9,060",83%,98%,95%,"$29,000",1%,"$60,925","$23,341","$2,021","$5,569","$7,116","$7,403","$4,761","$31,999","$64,463",61%,52%,21%,6%,21%,55%,51%,21%,22%,2%,21%,"$48,837","$14,059","$6,485","$3,373","$1,243",
Norwich University,VT,Northfield,Town: Distant,"5,157",No,No,74%,---,---,74%,3.3,No,6%,16.30%,15%,19.80%,5.40%,---,20.10%,16.10%,20,24,27,27,---,---,24,20,---,19,---,---,23,26,---,5%,540,600,650,670,1190,1320,590,520,1060,15%,31%,69%,---,11%,5%,72%,---,3%,---,9%,"$48,880","$48,880","$63,560",336,154,563,"2,642",54%,69%,61%,"$29,739",100%,"$34,591","$28,196","$3,527","$4,882","$2,833","$8,770","$5,404","$13,889","$36,911",100%,99%,15%,12%,30%,99%,99%,60%,61%,15%,30%,"$31,555","$25,197","$22,423","$20,895","$19,842",
Nossi College of Art,---,Madison,---,245,No,No,43%,---,---,43%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,62%,38%,---,7%,24%,63%,2%,2%,---,2%,"$13,400","$13,400","$13,400",19,31,50,278,41%,75%,41%,---,---,$591,"$23,745",---,"$2,720","$1,000","$4,734","$4,734",---,"$3,097",93%,91%,---,53%,69%,91%,63%,74%,74%,---,69%,"$26,846","$25,355","$24,549","$23,123","$22,498",
Nova Southeastern University,FL,Fort Lauderdale,Suburb: Large,"17,650",Yes,Yes,73%,---,---,73%,3.94,No,2%,24%,20%,22%,1%,---,10%,22%,19,24,28,28,---,---,24,19,---,17,---,---,23,26,---,16%,530,600,650,650,1180,1310,580,500,1050,42%,72%,28%,---,35%,16%,29%,---,13%,---,6%,"$40,200","$40,200","$64,736",565,"1,450","2,029","7,307",55%,76%,63%,"$19,379",100%,"$18,736","$32,756","$1,706","$5,396","$4,224","$8,606","$5,390","$18,590","$23,120",100%,100%,18%,47%,38%,100%,99%,45%,46%,8%,39%,"$35,861","$33,872","$30,839","$29,648","$28,140",
Oberlin College,OH,Oberlin,Town: Fringe,"10,529",Yes,No,34%,39%,---,34%,3.7,No,11%,42%,6%,14%,---,---,2%,25%,31,32,34,36,---,---,35,33,---,27,---,---,30,33,---,17%,700,730,760,760,1440,1510,710,660,1370,31%,60%,40%,---,10%,5%,67%,---,6%,---,12%,"$69,432","$69,432","$91,436",279,417,779,"2,896",60%,91%,81%,"$25,820",100%,"$33,119","$50,484","$2,035","$5,268","$3,800","$5,072","$5,109","$4,550","$33,746",99%,99%,7%,1%,8%,99%,99%,30%,32%,2%,8%,"$48,245","$36,946","$23,475","$13,640","$19,257",
Oberlin Conservatory of Music (Oberlin College),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Occidental College,CA,Los Angeles,City: Large,"6,461",Yes,No,44%,48%,---,44%,3.61,No,6%,30%,8%,21%,---,---,3%,32%,31,33,34,35,---,---,35,33,---,20,---,---,31,33,---,8%,690,730,750,770,1450,1500,720,690,1360,20%,55%,39%,6%,19%,5%,48%,---,17%,---,11%,"$66,274","$66,274","$80,362",211,298,532,"1,881",67%,90%,81%,"$17,397",58%,"$31,213","$47,113","$3,000","$5,208","$9,358","$7,428","$4,977","$6,042","$33,523",81%,78%,13%,7%,15%,80%,77%,39%,40%,18%,15%,"$55,885","$28,983","$17,577","$18,801","$18,872",
Ohio State University-Main Campus,OH,Columbus,City: Large,"72,829",No,Yes,61%,---,---,61%,---,---,---,---,---,---,---,---,---,---,26,31,32,33,---,---,31,25,---,25,---,---,29,31,---,40%,620,680,710,740,1400,1480,720,640,1330,24%,52%,48%,---,6%,9%,65%,---,12%,---,9%,"$13,465","$42,247","$33,155","4,559","5,003","8,062","46,815",72%,94%,88%,"$7,425",42%,"$9,815","$19,575",$740,"$5,316","$3,332","$8,718","$5,258","$20,904","$11,791",75%,64%,6%,11%,17%,72%,63%,32%,33%,6%,17%,"$27,144","$22,870","$12,683","$7,104","$6,259",
Ohio University-Main Campus,OH,Athens,Town: Distant,"27,105",No,Yes,85%,---,---,85%,3.64,No,28.63%,20.74%,9.85%,14.87%,0.14%,---,7.11%,18.67%,22,25,28,27,---,---,24,21,---,20,---,---,24,27,---,33%,550,600,650,640,1190,1290,590,540,1100,12%,60%,40%,---,5%,5%,82%,---,1%,---,6%,"$14,366","$25,580","$33,460","1,754","2,633","4,593","19,888",50%,84%,65%,"$6,639",11%,"$6,922","$20,550","$1,786","$4,903","$2,994","$8,256","$5,186","$14,130","$8,616",97%,93%,11%,14%,22%,97%,91%,59%,60%,13%,24%,"$23,216","$22,093","$18,808","$14,933","$13,075",
Ohio Wesleyan University,OH,Delaware,Suburb: Large,"6,144",Yes,Yes,56%,36%,84%,42%,3.6,No,24%,22%,12%,10%,1%,---,9%,22%,25,29,31,30,---,---,28,24,---,25,---,---,27,29,---,31%,550,610,685,665,1220,1350,610,555,1105,13%,55%,45%,---,7%,10%,75%,---,3%,---,5%,"$54,954","$54,954","$73,926",193,238,428,"1,525",50%,85%,58%,"$37,449",82%,"$40,326","$23,826","$1,145","$4,995","$3,997","$7,233","$5,181","$15,993","$42,496",100%,100%,27%,15%,27%,100%,100%,59%,62%,9%,27%,"$30,353","$17,444","$15,819","$13,089","$14,920",
Olivet College,MI,Olivet,Rural: Distant,"1,417",No,No,97%,---,---,97%,---,---,---,---,---,---,---,---,---,---,18,---,23,---,---,---,---,---,---,---,---,---,---,---,---,97%,---,---,---,---,---,---,---,---,---,---,46%,54%,---,8%,17%,66%,---,1%,---,9%,"$33,076","$33,076","$48,928",181,153,334,938,34%,57%,44%,"$16,145",108%,"$18,725","$23,533",$318,"$5,197","$2,502","$6,571","$5,250","$12,965","$22,602",100%,100%,52%,55%,52%,100%,99%,86%,100%,16%,52%,"$25,220","$21,904","$17,447","$24,502","$20,658",
Olivet Nazarene University,IL,Bourbonnais,Suburb: Small,"5,789",No,No,56%,---,---,56%,3.57,No,27.85%,17.72%,8.61%,12.15%,7.09%,---,12.41%,13.16%,19,23,26,26,---,---,24,17,---,18,---,---,22,26,---,16%,490,540,620,600,1080,1190,540,460,960,29%,51%,49%,---,14%,8%,60%,---,2%,2%,14%,"$41,120","$41,120","$58,085",388,402,649,"2,704",52%,73%,61%,"$25,952",96%,"$23,732","$22,707",$996,"$4,991","$6,618","$7,151","$5,356","$12,891","$27,899",100%,100%,23%,28%,41%,100%,100%,69%,70%,10%,42%,"$26,174","$23,922","$19,653","$17,148","$17,617",
Olympic College,WA,Bremerton,City: Small,585,No,No,88%,---,---,88%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,54%,46%,---,13%,4%,47%,1%,7%,1%,27%,"$4,475","$10,541","$26,993",236,272,---,"5,413",---,---,---,---,---,"$1,799","$11,105","$1,865","$4,380","$3,242","$5,439","$5,184","$12,074","$4,333",61%,56%,12%,32%,20%,59%,15%,4%,5%,---,25%,"$13,478","$11,184","$9,655","$6,386","$5,352",
Oregon Health & Science University,OR,Portland,City: Large,755,No,No,66%,---,---,66%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,21%,3%,63%,---,6%,1%,6%,"$22,506","$35,538","$50,330",---,---,---,788,---,---,---,---,---,---,---,---,"$4,916",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Oregon Institute of Technology,OR,Klamath Falls,Town: Remote,"5,098",No,No,95%,---,---,95%,3.54,No,16.63%,20.27%,12.24%,14.91%,0.57%,---,8.60%,26.78%,18,23,27,25,---,---,22,16,---,17,---,---,24,25,---,4.90%,500,580,650,620,1170,1300,590,500,1045,7.40%,53%,47%,---,19%,2%,64%,1%,7%,1%,7%,"$13,760","$38,653","$30,358",233,259,433,"5,162",28%,69%,54%,"$4,786",47%,"$6,276","$17,274",$928,"$5,155","$3,799","$6,793","$5,217","$11,914","$9,018",96%,94%,31%,24%,32%,96%,91%,42%,43%,6%,32%,"$22,085","$18,975","$14,959","$13,417","$10,338",
Oregon State University,OR,Corvallis,City: Small,"30,293",No,Yes,77%,---,---,77%,3.7,No,13%,38%,7%,15%,---,---,2%,25%,24,---,31,32,---,---,---,23,---,24,---,---,---,30,---,4%,580,---,700,700,---,---,---,560,---,10%,49%,51%,---,14%,2%,65%,1%,8%,---,10%,"$15,251","$40,436","$36,752","2,154","2,110","4,689","31,253",47%,88%,70%,"$9,250",84%,"$8,166","$21,868",$857,"$4,427","$4,572","$7,621","$5,035","$21,001","$9,922",92%,89%,5%,17%,19%,91%,87%,33%,35%,5%,19%,"$26,447","$22,243","$16,992","$14,376","$13,219",
Oregon State University-Cascades Campus,OR,Bend,City: Midsize,"1,787",No,No,68%,---,---,68%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,51%,49%,---,11%,1%,76%,1%,3%,---,8%,"$12,486","$35,046","$32,964",84,88,211,"1,058",38%,78%,58%,---,---,"$6,967","$18,949",$840,"$4,448","$4,139","$6,657","$4,691","$18,279","$9,294",95%,90%,7%,22%,26%,95%,88%,33%,35%,4%,26%,"$24,332","$18,390","$15,683","$14,120","$11,791",
Otis College of Art and Design,CA,Los Angeles,City: Large,"2,549",No,Yes,82%,---,---,82%,3.28,No,3.69%,21.66%,15.67%,17.51%,9.68%,---,11.52%,17.05%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,68%,32%,---,28%,7%,30%,---,24%,---,11%,"$55,200","$55,200","$87,064",69,149,236,"1,224",58%,74%,66%,"$13,645",2%,"$19,073","$49,440","$1,500","$5,695","$8,394","$9,965","$5,558","$33,862","$22,699",99%,99%,12%,23%,28%,99%,99%,46%,46%,6%,28%,"$52,546","$48,011","$43,733","$39,688","$40,358",
Pace University,NY,New York,City: Large,"30,030",Yes,Yes,76%,29%,83%,73%,3.3,No,25%,28%,50%,6%,8%,---,4%,7%,25,27,30,31,---,---,28,24,---,22,---,---,24,30,---,3%,600,620,680,670,1220,1328,600,580,1130,13%,65%,35%,---,26%,13%,47%,---,8%,---,6%,"$54,875","$54,875","$83,495",643,"1,186","1,949","8,038",46%,76%,60%,"$28,922",98%,"$31,540","$34,299","$1,265","$5,397","$3,933","$10,485","$5,554","$25,743","$34,148",99%,99%,21%,13%,34%,99%,99%,54%,57%,11%,34%,"$36,098","$30,891","$29,308","$27,098","$26,575",
Pacific College,---,Costa Mesa,---,20,---,---,50%,---,---,50%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,60%,40%,---,50%,8%,9%,---,17%,1%,15%,---,---,---,2,3,5,285,---,---,67%,---,---,---,"$21,941",---,"$6,632","$5,882","$12,608","$9,837","$26,463","$7,606",75%,60%,---,20%,50%,75%,---,50%,60%,10%,50%,---,---,"$21,438","$19,789","$23,543",
Pacific Lutheran University,WA,Tacoma,Suburb: Large,"4,992",No,No,78%,---,---,78%,3.66,No,16%,26%,9%,20%,---,1%,1%,26%,21,24,27,27,---,---,25,20,---,19,---,---,24,26,---,4%,515,575,630,628,1130,1258,555,473,988,7%,60%,34%,5%,20%,6%,47%,1%,11%,3%,13%,"$50,964","$50,964","$66,837",191,335,624,"2,446",41%,82%,69%,"$31,092",81%,"$33,257","$23,841","$1,068","$5,186","$9,013","$7,220","$5,096","$15,929","$39,464",99%,99%,36%,43%,36%,99%,99%,48%,50%,7%,36%,"$29,289","$24,898","$18,653","$13,035","$13,847",
Pacific Northwest College of Art,OR,Portland,City: Large,485,No,No,75%,---,---,75%,3.48,No,24%,15%,14%,12%,7%,2%,15%,13%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,61%,11%,28%,18%,5%,60%,---,3%,---,14%,"$51,940","$51,940","$77,110",15,86,119,424,33%,70%,47%,"$29,515",100%,"$22,460","$42,195","$1,962","$5,126","$4,049","$6,473","$5,048","$13,298","$24,845",100%,100%,15%,9%,39%,100%,99%,63%,63%,7%,39%,"$45,596","$45,643","$41,713","$34,711","$35,104",
Pacific Oaks College,CA,Pasadena,City: Midsize,30,No,No,10%,---,---,10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,50%,50%,---,56%,12%,17%,2%,2%,---,10%,"$33,360","$33,360","$33,360",1,1,2,346,---,---,---,---,---,---,---,---,"$3,817",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Pacific States University,CA,Los Angeles,City: Large,4,No,---,100%,---,---,100%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,100%,---,---,---,---,---,---,---,---,"$7,380","$7,380","$19,980",4,---,4,17,---,100%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Pacific Union College,CA,Angwin,Rural: Fringe,"1,323",No,Yes,42%,---,---,42%,---,---,---,---,---,---,---,---,---,---,20,23,24,24,---,---,22,16,---,15,---,---,20,25,---,9%,490,575,605,585,1080,1190,505,440,930,41%,55%,45%,---,30%,6%,18%,---,22%,1%,22%,"$37,173","$37,173","$48,141",49,59,139,910,30%,88%,38%,---,---,"$20,659","$22,799","$1,598","$4,878","$8,822","$6,543","$5,654","$12,436","$24,423",100%,100%,26%,23%,28%,100%,100%,61%,61%,4%,28%,"$25,182","$20,495","$18,211","$15,897","$14,903",
Pacific University,OR,Forest Grove,Suburb: Large,"2,988",No,No,90%,---,---,90%,3.71,No,27.96%,26.80%,9.51%,14.41%,1%,---,5.76%,15.56%,18,23,29,27,---,---,20,16,---,18,---,---,23,26,---,5%,480,580,630,610,1110,1240,530,420,990,5%,52%,48%,---,20%,3%,42%,---,13%,3%,18%,"$58,348","$58,348","$77,470",167,183,400,"1,589",55%,79%,67%,"$29,708",98%,"$32,593","$34,809",$531,"$5,109","$3,999","$7,524","$5,405","$21,958","$34,521",100%,97%,27%,13%,27%,100%,97%,93%,94%,9%,27%,"$40,153","$36,060","$28,427","$25,979","$22,238",
Palo Alto University,CA,Palo Alto,Rural: Fringe,248,No,No,94%,---,---,94%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,25%,20%,25%,5%,10%,5%,10%,---,---,---,---,---,---,19,---,---,---,---,---,---,---,---,"$3,926",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Peninsula College,WA,Port Angeles,Town: Remote,"4,139",No,No,81%,---,---,81%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,53%,47%,---,14%,4%,54%,4%,2%,---,22%,"$4,586","$5,111","$5,348",75,85,---,"1,837",---,---,---,---,---,"$3,072","$6,525",$631,"$4,479","$4,336","$7,917","$6,123","$25,862","$7,662",78%,68%,10%,52%,45%,70%,23%,6%,7%,1%,46%,"$12,892","$11,112","$6,829","$2,384","$3,080",
Pennsylvania State University-Main Campus,PA,University Park,City: Small,"88,478",No,Yes,61%,---,---,61%,3.84,No,50.02%,24.99%,1.97%,7.35%,0.26%,---,0.83%,14.58%,27,29,32,33,---,---,30,26,---,26,---,---,28,31,---,5.39%,620,650,700,720,1310,1400,660,620,1220,31.06%,51%,49%,---,10%,5%,69%,---,8%,---,7%,"$21,098","$43,490","$42,968","4,439","4,638","9,040","42,604",70%,93%,86%,"$5,764",12%,"$8,733","$27,450","$2,994","$5,352","$4,133","$13,736","$5,347","$26,372","$11,577",66%,36%,3%,10%,13%,60%,35%,44%,45%,15%,13%,"$37,209","$33,579","$26,257","$19,743","$19,458",
Pennsylvania State University-Penn State Erie-Behrend College,PA,Erie,Suburb: Midsize,"6,378",No,Yes,97%,---,---,97%,3.53,No,26.58%,17.80%,11.48%,13.35%,3.40%,---,12.06%,15.34%,25,26,31,28,---,---,24,22,---,24,---,---,26,29,---,3.79%,560,610,650,660,1210,1320,600,560,1110,31.33%,39%,61%,---,5%,4%,79%,---,5%,---,6%,"$16,004","$27,254","$37,874",538,340,866,"3,244",48%,83%,67%,"$5,857",43%,"$6,547","$20,964","$2,815","$5,056","$4,610","$10,964","$5,284","$19,304","$10,930",84%,66%,7%,27%,28%,82%,64%,59%,61%,18%,29%,"$29,572","$25,800","$19,588","$14,905","$14,702",
Pepperdine University,CA,Malibu,Suburb: Large,"11,526",No,Yes,63%,---,---,63%,3.61,No,9%,29%,10%,19%,---,---,3%,31%,29,30,32,35,---,---,30,30,---,27,---,---,27,32,---,10%,650,670,710,740,1360,1450,690,640,1250,18%,58%,42%,---,21%,4%,47%,---,16%,---,11%,"$72,672","$72,672","$98,652",353,487,732,"3,553",75%,88%,83%,"$7,158",73%,"$30,613","$52,216","$1,281","$5,108","$8,800","$8,877","$5,304","$17,344","$32,986",92%,91%,20%,15%,20%,91%,89%,42%,44%,10%,20%,"$52,946","$42,253","$40,201","$38,065","$36,463",
Pikes Peak State College,CO,Colorado Springs,Suburb: Large,"10,274",No,No,86%,---,---,86%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,52%,48%,---,25%,8%,53%,1%,3%,1%,8%,"$4,607","$17,647","$9,361",486,529,---,"12,388",---,---,---,$812,---,"$3,169","$9,311","$1,239","$5,655","$4,000","$3,982","$3,741","$6,745","$6,491",88%,86%,79%,46%,47%,87%,1%,14%,15%,1%,85%,"$18,345","$14,446","$10,947","$8,962","$7,824",
Pima Medical Institute-Tucson,---,Tucson,---,"37,805",No,No,91%,---,---,91%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,82%,18%,---,38%,10%,33%,2%,7%,1%,9%,---,---,---,32,147,---,"2,619",---,---,---,---,---,"$1,116",---,$346,"$4,885","$1,699","$8,628","$8,076","$13,963","$5,089",86%,70%,20%,19%,66%,85%,16%,77%,85%,8%,66%,---,---,---,---,---,
Pioneer Pacific College,---,Wilsonville,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Pitzer College,CA,Claremont,Suburb: Large,"3,438",Yes,No,25%,42%,---,23%,3.88,No,45.60%,34.20%,1%,3.90%,---,---,---,15.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,53%,40%,7%,13%,5%,52%,---,14%,---,16%,"$62,692","$62,692","$86,466",126,165,275,"1,242",57%,94%,83%,"$7,000",2%,"$45,002","$34,801","$3,929","$5,449","$9,358","$5,678","$3,696","$39,641","$48,031",39%,36%,6%,5%,9%,37%,36%,19%,19%,1%,9%,"$49,894","$22,791","$17,911","$16,361","$9,284",
Platt College-Aurora,---,Aurora,---,11,---,---,36%,---,---,36%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,75%,25%,---,23%,7%,55%,---,7%,---,8%,"$20,590","$20,590","$22,900",1,3,4,232,---,83%,---,---,---,---,"$37,696",$611,"$4,707",---,"$11,514","$11,514",---,"$6,559",100%,30%,30%,---,30%,100%,---,100%,100%,---,30%,"$44,255","$44,255",---,"$42,391","$39,076",
Platt College-San Diego,---,San Diego,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,26%,12%,35%,1%,11%,2%,12%,---,---,---,---,---,---,69,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Point Loma Nazarene University,CA,San Diego,City: Large,"3,264",No,Yes,84%,---,---,84%,3.7,No,10.10%,43.20%,6.50%,12.80%,0.30%,---,1.90%,25.10%,25,27,32,34,---,---,26,23,---,23,---,---,24,28,---,6%,610,640,695,670,1270,1410,630,565,1140,7.50%,68%,32%,---,27%,2%,52%,---,7%,---,11%,"$48,450","$48,450","$68,748",185,399,657,"3,246",67%,86%,77%,"$14,210",88%,"$17,782","$36,370","$1,544","$4,801","$8,541","$7,943","$5,346","$24,376","$20,277",95%,93%,7%,17%,16%,95%,93%,55%,56%,6%,16%,"$51,154","$51,106","$49,500","$47,378","$44,837",
Pomona College,CA,Claremont,Suburb: Large,"12,249",Yes,No,7%,13%,---,6%,---,No,---,---,---,---,---,---,---,---,33,34,35,36,---,---,35,35,---,31,---,---,32,35,---,14%,740,750,770,790,1520,1560,770,750,1480,36%,56%,44%,---,20%,10%,33%,---,21%,1%,15%,"$68,670","$68,670","$94,534",194,242,408,"1,766",60%,98%,93%,---,---,"$60,718","$17,423","$3,879","$5,334","$9,358","$12,046","$5,265","$10,894","$63,773",64%,56%,7%,4%,21%,58%,56%,10%,13%,10%,21%,"$51,240","$15,433","$5,099","$5,444","$5,638",
Portland State University,OR,Portland,City: Large,"9,077",No,No,91%,---,---,91%,3.36,No,4.12%,20.92%,16.46%,17.97%,2.54%,---,20.16%,17.76%,17,---,28,29,---,---,---,17,---,16,---,---,---,25,---,2.60%,500,---,640,630,---,---,---,450,---,3.66%,57%,43%,---,24%,6%,48%,---,10%,1%,11%,"$11,630","$31,880","$30,073",583,762,"1,580","15,414",34%,76%,53%,"$3,677",3%,"$4,105","$12,509",$439,"$4,843","$3,927","$6,104","$4,735","$15,606","$8,827",88%,84%,31%,51%,58%,88%,55%,33%,33%,3%,59%,"$19,412","$15,351","$13,162","$12,186","$11,558",
Prairie View A & M University,TX,Prairie View,Town: Distant,"12,962",---,---,78%,---,---,78%,3.29,No,1.86%,12.40%,21.40%,18.31%,1.74%,---,24.40%,19.75%,16,18,21,21,---,---,17,14,---,15,---,---,17,20,---,13.11%,440,480,540,530,940,1030,460,410,850,49.79%,69%,31%,---,8%,85%,1%,---,1%,---,5%,"$11,299","$26,502","$28,809",624,"1,403","2,112","8,836",19%,76%,43%,"$2,497",6%,"$7,077","$14,065","$1,743","$5,397","$7,180","$6,697","$5,703","$16,736","$14,680",97%,97%,20%,81%,64%,97%,63%,54%,56%,4%,79%,"$23,032","$20,779","$17,552","$10,487","$9,605",
Prescott College,AZ,Prescott,City: Small,140,No,No,99%,---,---,99%,3.14,No,6.90%,20.69%,10.34%,17%,24.14%,---,13.79%,20.69%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,61%,39%,---,6%,3%,68%,---,5%,---,17%,"$35,685","$35,685","$48,561",9,14,23,257,48%,75%,57%,"$19,272",92%,"$21,506","$23,163","$2,875","$5,051",---,"$6,684","$6,684",---,"$23,929",100%,100%,25%,---,41%,100%,97%,59%,59%,---,41%,"$23,921","$23,353","$31,266","$20,716","$16,573",
Principia College,IL,Elsah,Rural: Fringe,328,No,Yes,43%,---,---,43%,3.63,No,22%,20%,10%,14%,3%,---,9%,25%,21,20,26,23,---,---,21,16,---,16,---,---,18,22,---,22%,510,550,640,610,1120,1250,570,530,1040,35%,48%,52%,---,8%,18%,59%,---,1%,1%,12%,"$35,930","$35,930","$53,790",36,33,84,339,55%,82%,75%,"$12,000",829%,"$32,096","$14,904",---,---,---,"$7,500",---,"$7,500","$32,096",90%,90%,---,---,---,90%,90%,---,90%,90%,---,---,---,---,---,---,
